timestamp,machine_id,temperature,vibration,pressure,run_hours,rul_hours,predicted_failure_date
2025-09-13 12:22:38,1,58.72632686092073,0.4896289815237921,33.90618876213934,1535,240.78537543988924,2025-09-23 13:09:45
2025-09-13 12:22:38,2,68.29943083322792,0.3994976605644705,37.087482801363194,537,240.78537543988924,2025-09-23 13:09:45
2025-09-13 12:22:38,3,75.57007472297248,0.3468692925093206,33.071273953826825,1150,240.78537543988924,2025-09-23 13:09:45
2025-09-13 12:22:38,4,76.41421290195227,0.4191394081439717,33.593045617129725,898,240.78537543988924,2025-09-23 13:09:45
2025-09-13 12:22:38,5,53.770734525927125,0.5053697815236998,24.53549779079885,1711,226.95531428083055,2025-09-22 23:19:57
1,58.72632686092073,0.4896289815237921,33.90618876213934,1535,240.78537543988924,2025-09-23 13:09:45,2025-09-13 12:22:38
2,68.29943083322792,0.3994976605644705,37.087482801363194,537,240.78537543988924,2025-09-23 13:09:45,2025-09-13 12:22:38
3,75.57007472297248,0.3468692925093206,33.071273953826825,1150,240.78537543988924,2025-09-23 13:09:45,2025-09-13 12:22:38
4,76.41421290195227,0.4191394081439717,33.593045617129725,898,240.78537543988924,2025-09-23 13:09:45,2025-09-13 12:22:38
5,53.770734525927125,0.5053697815236998,24.53549779079885,1711,226.95531428083055,2025-09-22 23:19:57,2025-09-13 12:22:38
2025-09-13 12:22:43,1,65.49312654894807,0.602978404329601,26.814341929257342,1640,226.95531428083055,2025-09-22 23:20:02
2025-09-13 12:22:43,2,70.04287862376407,0.446898779160074,39.95621036536797,228,240.78537543988924,2025-09-23 13:09:50
2025-09-13 12:22:43,3,72.32684968332237,0.5574957894235749,35.489291753977426,1312,240.78537543988924,2025-09-23 13:09:50
2025-09-13 12:22:43,4,58.97511488217958,0.31125587959030077,20.589964273692743,272,226.95531428083055,2025-09-22 23:20:02
2025-09-13 12:22:43,5,57.937646038503345,0.5035168083922743,27.11890253024807,589,226.95531428083055,2025-09-22 23:20:02
1,65.49312654894807,0.602978404329601,26.814341929257342,1640,226.95531428083055,2025-09-22 23:20:02,2025-09-13 12:22:43
2,70.04287862376407,0.446898779160074,39.95621036536797,228,240.78537543988924,2025-09-23 13:09:50,2025-09-13 12:22:43
3,72.32684968332237,0.5574957894235749,35.489291753977426,1312,240.78537543988924,2025-09-23 13:09:50,2025-09-13 12:22:43
4,58.97511488217958,0.31125587959030077,20.589964273692743,272,226.95531428083055,2025-09-22 23:20:02,2025-09-13 12:22:43
5,57.937646038503345,0.5035168083922743,27.11890253024807,589,226.95531428083055,2025-09-22 23:20:02,2025-09-13 12:22:43
2025-09-13 12:22:48,1,71.6473463166103,0.31000267338013754,29.636275724915745,1858,226.95531428083055,2025-09-22 23:20:07
2025-09-13 12:22:48,2,75.33009024303423,0.49863961670710627,34.08085288293553,688,240.78537543988924,2025-09-23 13:09:55
2025-09-13 12:22:48,3,58.253459562040874,0.55651369845369,28.14065061303659,550,226.95531428083055,2025-09-22 23:20:07
2025-09-13 12:22:48,4,71.37604122515557,0.3666842619496584,29.364777286538796,936,226.95531428083055,2025-09-22 23:20:07
2025-09-13 12:22:48,5,53.90396972461265,0.48340432609793993,25.05769403396104,1083,226.95531428083055,2025-09-22 23:20:07
1,71.6473463166103,0.31000267338013754,29.636275724915745,1858,226.95531428083055,2025-09-22 23:20:07,2025-09-13 12:22:48
2,75.33009024303423,0.49863961670710627,34.08085288293553,688,240.78537543988924,2025-09-23 13:09:55,2025-09-13 12:22:48
3,58.253459562040874,0.55651369845369,28.14065061303659,550,226.95531428083055,2025-09-22 23:20:07,2025-09-13 12:22:48
4,71.37604122515557,0.3666842619496584,29.364777286538796,936,226.95531428083055,2025-09-22 23:20:07,2025-09-13 12:22:48
5,53.90396972461265,0.48340432609793993,25.05769403396104,1083,226.95531428083055,2025-09-22 23:20:07,2025-09-13 12:22:48
2025-09-13 12:22:53,1,52.289382753938945,0.4515232262733315,26.41476521590103,381,226.95531428083055,2025-09-22 23:20:12
2025-09-13 12:22:53,2,69.46748756747724,0.7644208958019938,33.101882675243935,134,240.78537543988924,2025-09-23 13:10:00
2025-09-13 12:22:53,3,62.836734300799634,0.5422989098834704,26.29020796468428,1329,226.95531428083055,2025-09-22 23:20:12
2025-09-13 12:22:53,4,83.23600150548735,0.5322238381421738,30.132566886478894,1349,226.95531428083055,2025-09-22 23:20:12
2025-09-13 12:22:53,5,53.29967869078354,0.6155466292325732,29.485242778934463,935,226.95531428083055,2025-09-22 23:20:12
1,52.289382753938945,0.4515232262733315,26.41476521590103,381,226.95531428083055,2025-09-22 23:20:12,2025-09-13 12:22:53
2,69.46748756747724,0.7644208958019938,33.101882675243935,134,240.78537543988924,2025-09-23 13:10:00,2025-09-13 12:22:53
